Generation	Identity	Population
0	genotype-1	0.0
17	genotype-1	0.0
25	genotype-1	22.8
44	genotype-1	47.5
66	genotype-1	21.9
75	genotype-1	1.0
90	genotype-1	1.0
0	genotype-11	0.0
17	genotype-11	0.0
25	genotype-11	0.0
44	genotype-11	12.600000000000003
66	genotype-11	33.1
75	genotype-11	1.0
90	genotype-11	1.0
0	genotype-10	0.0
17	genotype-10	0.0
25	genotype-10	0.0
44	genotype-10	0.0
66	genotype-10	0.0
75	genotype-10	100.0
90	genotype-10	100.0
0	genotype-8	0.0
17	genotype-8	0.0
25	genotype-8	0.0
44	genotype-8	52.5
66	genotype-8	45.4
75	genotype-8	64.35
90	genotype-8	58.400000000000006
0	genotype-9	0.0
17	genotype-9	0.0
25	genotype-9	0.0
44	genotype-9	14.7
66	genotype-9	45.0
75	genotype-9	92.4
90	genotype-9	88.7
0	genotype-5	0.0
17	genotype-5	38.0
25	genotype-5	43.2
44	genotype-5	0.0
66	genotype-5	0.0
75	genotype-5	0.0
90	genotype-5	0.0
0	genotype-7	0.0
17	genotype-7	0.0
25	genotype-7	0.0
44	genotype-7	0.0
66	genotype-7	0.0
75	genotype-7	26.75
90	genotype-7	32.6
0	genotype-4	0.0
17	genotype-4	0.0
25	genotype-4	0.0
44	genotype-4	6.9
66	genotype-4	27.65
75	genotype-4	2.85
90	genotype-4	7.8
0	genotype-6	0.0
17	genotype-6	0.0
25	genotype-6	0.0
44	genotype-6	0.0
66	genotype-6	20.9
75	genotype-6	20.9
90	genotype-6	0.0
0	genotype-2	0.0
17	genotype-2	0.0
25	genotype-2	11.700000000000001
44	genotype-2	0.0
66	genotype-2	0.0
75	genotype-2	0.0
90	genotype-2	10.299999999999999
0	genotype-3	0.0
17	genotype-3	0.0
25	genotype-3	3.3000000000000003
44	genotype-3	10.6
66	genotype-3	10.65
75	genotype-3	0.0
90	genotype-3	0.0
0	genotype-0	100.0
17	genotype-0	62.0
25	genotype-0	19.0
44	genotype-0	0.0
66	genotype-0	0.0
75	genotype-0	0.0
90	genotype-0	0.0
